Ticker,Date,Open,High,Low,Close,Adj Close,Volume
GOOG,2023-04-05, 106.12 , 106.54 , 104.10 , 104.95 , 104.95 ," 21,864,200.00 "
GOOG,2023-04-06, 105.77 , 109.63 , 104.82 , 108.90 , 108.90 ," 34,684,200.00 "
GOOG,2023-04-10, 107.39 , 107.97 , 105.60 , 106.95 , 106.95 ," 19,741,500.00 "
GOOG,2023-04-11, 106.92 , 107.22 , 105.28 , 106.12 , 106.12 ," 18,721,300.00 "
GOOG,2023-04-12, 107.39 , 107.59 , 104.97 , 105.22 , 105.22 ," 22,761,600.00 "
GOOG,2023-04-13, 106.47 , 108.26 , 106.44 , 108.19 , 108.19 ," 21,650,700.00 "
GOOG,2023-04-14, 107.69 , 109.58 , 107.59 , 109.46 , 109.46 ," 20,745,400.00 "
GOOG,2023-04-17, 105.43 , 106.71 , 105.32 , 106.42 , 106.42 ," 29,043,400.00 "
GOOG,2023-04-18, 107.00 , 107.05 , 104.78 , 105.12 , 105.12 ," 17,641,400.00 "
GOOG,2023-04-19, 104.21 , 105.72 , 103.80 , 105.02 , 105.02 ," 16,732,000.00 "
GOOG,2023-04-20, 104.65 , 106.89 , 104.64 , 105.90 , 105.90 ," 22,515,300.00 "
GOOG,2023-04-21, 106.09 , 106.64 , 105.49 , 105.91 , 105.91 ," 22,369,800.00 "
GOOG,2023-04-24, 106.05 , 107.32 , 105.36 , 106.78 , 106.78 ," 21,410,900.00 "
GOOG,2023-04-25, 106.61 , 107.44 , 104.56 , 104.61 , 104.61 ," 31,408,100.00 "
GOOG,2023-04-26, 105.56 , 107.02 , 103.27 , 104.45 , 104.45 ," 37,068,200.00 "
GOOG,2023-04-27, 105.23 , 109.15 , 104.42 , 108.37 , 108.37 ," 38,235,200.00 "
GOOG,2023-04-28, 107.80 , 108.29 , 106.04 , 108.22 , 108.22 ," 23,957,900.00 "
GOOG,2023-05-01, 107.72 , 108.68 , 107.50 , 107.71 , 107.71 ," 20,926,300.00 "
GOOG,2023-05-02, 107.66 , 107.73 , 104.50 , 105.98 , 105.98 ," 20,343,100.00 "
GOOG,2023-05-03, 106.22 , 108.13 , 105.62 , 106.12 , 106.12 ," 17,116,300.00 "
GOOG,2023-05-04, 106.16 , 106.30 , 104.70 , 105.21 , 105.21 ," 19,780,600.00 "
GOOG,2023-05-05, 105.32 , 106.44 , 104.74 , 106.21 , 106.21 ," 20,705,300.00 "
